Id,Name,Type,Order from Sun,Diameter (Earth=1),Diameter (km),Mass (Earth=1),Mean Distance from Sun (AU),Orbital Period (years),Orbital Eccentricity,Rotation Period (days),Inclination of Axis (degrees),Number of Moons
1,Sun,Star,0,109,1392000,333000,0,0,0,25.05,7.25,0
2,Mercury,Terrestrial planet,1,0.382,4878,0.055,0.39,0.24,0.2056,58.65,0,0
3,Venus,Terrestrial planet,2,0.949,12104,0.815,0.72,0.62,0.0068,-243,177.4,0
4,Earth,Terrestrial planet,3,1,12756,1,1,1,0.0167,1,23.45,1
5,Mars,Terrestrial planet,4,0.532,6787,0.107,1.52,1.88,0.0934,1.03,23.98,2
6,Jupiter,Gas giant,6,11.209,142800,318,5.2,11.86,0.0483,0.41,3.08,63
7,Saturn,Gas giant,7,9.44,120000,95,9.54,29.46,0.056,0.44,26.73,62
8,Uranus,Gas giant,8,4.007,51118,15,19.18,84.01,0.0461,-0.72,97.92,27
9,Neptune,Gas giant,9,3.883,49528,17,30.06,164.8,0.0097,0.72,28.8,13
11,Pluto,Dwarf planet,10,0.18,2300,0.002,39.44,247.7,0.2482,-6.38,122,3
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,Total Planets:,,,,,,,
,,,,,Average moons:,,,,,,,
,,,,,Eighth planet:,,,,,,,